nomeEstacao,latitude,longitude,valorMedida,data
Bauxita,-20.396,-43.502,217.89000000000001,2018-01
Bauxita,-20.396,-43.502,290.34,2018-02
Bauxita,-20.396,-43.502,208.48,2018-03
Bauxita,-20.396,-43.502,77.72,2018-04
Bauxita,-20.396,-43.502,5.78,2018-05
Bauxita,-20.396,-43.502,1.0,2018-06
Bauxita,-20.396,-43.502,0.6000000000000001,2018-07
Bauxita,-20.396,-43.502,69.57000000000001,2018-08
Bauxita,-20.396,-43.502,134.8,2018-09
Bauxita,-20.396,-43.502,113.13,2018-10
Bauxita,-20.396,-43.502,362.13,2018-11
Bauxita,-20.396,-43.502,273.43,2018-12
Bauxita,-20.396,-43.502,58.199999999999996,2019-01
Bauxita,-20.396,-43.502,174.65,2019-02
Bauxita,-20.396,-43.502,165.66,2019-03
Bauxita,-20.396,-43.502,86.23,2019-04
Bauxita,-20.396,-43.502,45.0,2019-05
Bauxita,-20.396,-43.502,4.4,2019-06
Bauxita,-20.396,-43.502,0.0,2019-07
Bauxita,-20.396,-43.502,27.76,2019-08
Bauxita,-20.396,-43.502,28.6,2019-09
Bauxita,-20.396,-43.502,79.9,2019-10
Bauxita,-20.396,-43.502,213.88,2019-11
Bauxita,-20.396,-43.502,184.68,2019-12
Bauxita,-20.396,-43.502,491.17,2020-01
Bauxita,-20.396,-43.502,206.79,2020-02
Bauxita,-20.396,-43.502,254.29,2020-03
Bauxita,-20.396,-43.502,97.62,2020-04
Bauxita,-20.396,-43.502,49.12,2020-05
Bauxita,-20.396,-43.502,7.69,2020-06
Bauxita,-20.396,-43.502,9.94,2020-07
Bauxita,-20.396,-43.502,12.34,2020-08
Bauxita,-20.396,-43.502,12.25,2020-09
Bauxita,-20.396,-43.502,194.8,2020-10
Bauxita,-20.396,-43.502,129.6,2020-11
Bauxita,-20.396,-43.502,366.66,2020-12
Bauxita,-20.396,-43.502,186.24,2021-01
Bauxita,-20.396,-43.502,324.97,2021-02
Bauxita,-20.396,-43.502,57.8,2021-03
Bauxita,-20.396,-43.502,5.76,2021-04
Bauxita,-20.396,-43.502,14.870000000000001,2021-05
Bauxita,-20.396,-43.502,4.73,2021-06
Bauxita,-20.396,-43.502,0.2,2021-07
Bauxita,-20.396,-43.502,12.040000000000001,2021-08
Bauxita,-20.396,-43.502,21.52,2021-09
Bauxita,-20.396,-43.502,302.13,2021-10
Bauxita,-20.396,-43.502,309.25,2021-11
Bauxita,-20.396,-43.502,376.97,2021-12
Bauxita,-20.396,-43.502,459.66,2022-01
Bauxita,-20.396,-43.502,255.58,2022-02
Bauxita,-20.396,-43.502,23.88,2022-03
Bauxita,-20.396,-43.502,39.68,2022-04
Bauxita,-20.396,-43.502,51.22,2022-05
Bauxita,-20.396,-43.502,0.0,2022-06
Bauxita,-20.396,-43.502,0.8,2022-07
Bauxita,-20.396,-43.502,0.8,2022-08
Bauxita,-20.396,-43.502,23.35,2022-09
Bauxita,-20.396,-43.502,179.88,2022-10
Bauxita,-20.396,-43.502,335.51,2022-11
Bauxita,-20.396,-43.502,297.98,2022-12
