nomeEstacao,latitude,longitude,valorMedida,data
Morgans,-20.0876,-43.785103,156.2,2018-03
Morgans,-20.0876,-43.785103,26.8,2018-04
Morgans,-20.0876,-43.785103,20.8,2018-05
Morgans,-20.0876,-43.785103,1.6,2018-06
Morgans,-20.0876,-43.785103,3.0,2018-07
Morgans,-20.0876,-43.785103,67.0,2018-08
Morgans,-20.0876,-43.785103,60.6,2018-09
Morgans,-20.0876,-43.785103,148.4,2018-10
Morgans,-20.0876,-43.785103,168.4,2018-11
Morgans,-20.0876,-43.785103,195.8,2018-12
Morgans,-20.0876,-43.785103,84.2,2019-01
Morgans,-20.0876,-43.785103,192.0,2019-02
Morgans,-20.0876,-43.785103,97.8,2019-03
Morgans,-20.0876,-43.785103,87.2,2019-04
Morgans,-20.0876,-43.785103,84.4,2019-05
Morgans,-20.0876,-43.785103,5.8,2019-06
Morgans,-20.0876,-43.785103,0.2,2019-07
Morgans,-20.0876,-43.785103,0.4,2019-08
Morgans,-20.0876,-43.785103,32.6,2019-09
Morgans,-20.0876,-43.785103,52.800000000000004,2019-10
Morgans,-20.0876,-43.785103,189.6,2019-11
Morgans,-20.0876,-43.785103,203.8,2019-12
Morgans,-20.0876,-43.785103,611.8,2020-01
Morgans,-20.0876,-43.785103,286.0,2020-02
Morgans,-20.0876,-43.785103,384.0,2020-03
Morgans,-20.0876,-43.785103,83.2,2020-04
Morgans,-20.0876,-43.785103,31.0,2020-05
Morgans,-20.0876,-43.785103,1.0,2020-06
Morgans,-20.0876,-43.785103,17.6,2020-07
Morgans,-20.0876,-43.785103,14.0,2020-08
Morgans,-20.0876,-43.785103,23.2,2020-09
Morgans,-20.0876,-43.785103,105.8,2020-10
Morgans,-20.0876,-43.785103,134.4,2020-11
Morgans,-20.0876,-43.785103,327.0,2020-12
Morgans,-20.0876,-43.785103,141.6,2021-01
Morgans,-20.0876,-43.785103,357.6,2021-02
Morgans,-20.0876,-43.785103,71.2,2021-03
Morgans,-20.0876,-43.785103,3.0,2021-04
Morgans,-20.0876,-43.785103,38.6,2021-05
Morgans,-20.0876,-43.785103,4.0,2021-06
Morgans,-20.0876,-43.785103,0.2,2021-07
Morgans,-20.0876,-43.785103,7.6,2021-08
Morgans,-20.0876,-43.785103,20.6,2021-09
Morgans,-20.0876,-43.785103,228.6,2021-10
Morgans,-20.0876,-43.785103,313.8,2021-11
Morgans,-20.0876,-43.785103,271.0,2021-12
Morgans,-20.0876,-43.785103,560.0,2022-01
Morgans,-20.0876,-43.785103,187.4,2022-02
Morgans,-20.0876,-43.785103,12.4,2022-03
Morgans,-20.0876,-43.785103,70.8,2022-04
Morgans,-20.0876,-43.785103,62.2,2022-05
Morgans,-20.0876,-43.785103,1.0,2022-06
Morgans,-20.0876,-43.785103,1.4000000000000001,2022-07
Morgans,-20.0876,-43.785103,0.0,2022-08
Morgans,-20.0876,-43.785103,21.400000000000002,2022-09
Morgans,-20.0876,-43.785103,117.8,2022-10
Morgans,-20.0876,-43.785103,216.6,2022-11
Morgans,-20.0876,-43.785103,7.6000000000000005,2022-12
