nomeEstacao,latitude,longitude,valorMedida,data
Palmital,-19.76625,-43.83535,100.0,2018-03
Palmital,-19.76625,-43.83535,14.2,2018-04
Palmital,-19.76625,-43.83535,10.0,2018-05
Palmital,-19.76625,-43.83535,0.2,2018-06
Palmital,-19.76625,-43.83535,1.4,2018-07
Palmital,-19.76625,-43.83535,37.8,2018-08
Palmital,-19.76625,-43.83535,45.2,2018-09
Palmital,-19.76625,-43.83535,110.0,2018-10
Palmital,-19.76625,-43.83535,261.2,2018-11
Palmital,-19.76625,-43.83535,421.4,2018-12
Palmital,-19.76625,-43.83535,36.6,2019-01
Palmital,-19.76625,-43.83535,230.20000000000002,2019-02
Palmital,-19.76625,-43.83535,126.2,2019-03
Palmital,-19.76625,-43.83535,41.0,2019-04
Palmital,-19.76625,-43.83535,40.6,2019-05
Palmital,-19.76625,-43.83535,9.4,2019-06
Palmital,-19.76625,-43.83535,0.0,2019-07
Palmital,-19.76625,-43.83535,0.2,2019-08
Palmital,-19.76625,-43.83535,17.2,2019-09
Palmital,-19.76625,-43.83535,84.0,2019-10
Palmital,-19.76625,-43.83535,183.6,2019-11
Palmital,-19.76625,-43.83535,195.4,2019-12
Palmital,-19.76625,-43.83535,519.0,2020-01
Palmital,-19.76625,-43.83535,287.2,2020-02
Palmital,-19.76625,-43.83535,280.2,2020-03
Palmital,-19.76625,-43.83535,86.2,2020-04
Palmital,-19.76625,-43.83535,27.6,2020-05
Palmital,-19.76625,-43.83535,1.6,2020-06
Palmital,-19.76625,-43.83535,1.0,2020-07
Palmital,-19.76625,-43.83535,14.0,2020-08
Palmital,-19.76625,-43.83535,7.2,2020-09
Palmital,-19.76625,-43.83535,129.6,2020-10
Palmital,-19.76625,-43.83535,89.8,2020-11
Palmital,-19.76625,-43.83535,192.0,2020-12
Palmital,-19.76625,-43.83535,212.6,2021-01
Palmital,-19.76625,-43.83535,346.4,2021-02
Palmital,-19.76625,-43.83535,91.4,2021-03
Palmital,-19.76625,-43.83535,2.2,2021-04
Palmital,-19.76634,-43.93589,15.4,2021-05
Palmital,-19.76634,-43.93589,2.4,2021-06
Palmital,-19.76634,-43.93589,0.0,2021-07
Palmital,-19.76634,-43.93589,6.0,2021-08
Palmital,-19.76634,-43.93589,6.0,2021-09
Palmital,-19.76634,-43.93589,156.20000000000002,2021-10
Palmital,-19.76634,-43.93589,285.2,2021-11
Palmital,-19.76634,-43.93589,270.0,2021-12
Palmital,-19.76634,-43.93589,402.8,2022-01
Palmital,-19.76634,-43.93589,348.6,2022-02
Palmital,-19.76634,-43.93589,4.8,2022-03
Palmital,-19.76634,-43.93589,27.2,2022-04
Palmital,-19.76634,-43.93589,78.8,2022-05
Palmital,-19.76634,-43.93589,0.0,2022-06
Palmital,-19.76634,-43.93589,0.0,2022-07
Palmital,-19.76634,-43.93589,0.0,2022-08
Palmital,-19.76634,-43.93589,40.8,2022-09
Palmital,-19.76634,-43.93589,91.2,2022-10
Palmital,-19.76634,-43.93589,345.6,2022-11
Palmital,-19.76634,-43.93589,413.0,2022-12
