Nome: CONTAGEM
Codigo Estacao: A501
Latitude: -19.95
Longitude: -44.08333333
Altitude: 980
Situacao: Desativada
Data Inicial: 2002-11-03
Data Final: 2008-06-24
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2002-11-30;null;
2002-12-31;null;
2003-01-31;null;
2003-02-28;136,8;
2003-03-31;113;
2003-04-30;15,8;
2003-05-31;20,8;
2003-06-30;0;
2003-07-31;0;
2003-08-31;7,2;
2003-09-30;8,6;
2003-10-31;22,6;
2003-11-30;198,2;
2003-12-31;244,6;
2004-01-31;366,4;
2004-02-29;null;
2004-03-31;null;
2004-04-30;84,4;
2004-05-31;null;
2004-06-30;null;
2004-07-31;39,2;
2004-08-31;0;
2004-09-30;null;
2004-10-31;null;
2004-11-30;null;
2004-12-31;null;
2005-01-31;null;
2005-02-28;null;
2005-03-31;161;
2005-04-30;null;
2005-05-31;null;
2005-06-30;null;
2005-07-31;null;
2005-08-31;null;
2005-09-30;102,6;
2005-10-31;null;
2005-11-30;null;
2005-12-31;null;
2006-01-31;167;
2006-02-28;null;
2006-03-31;212,2;
2006-04-30;null;
2006-05-31;null;
2006-06-30;5,2;
2006-07-31;2,4;
2006-08-31;18,8;
2006-09-30;108,6;
2006-10-31;142,6;
2006-11-30;230;
2006-12-31;216,6;
2007-01-31;356,2;
2007-02-28;129,2;
2007-03-31;63,2;
2007-04-30;61,8;
2007-05-31;13;
2007-06-30;,2;
2007-07-31;5,4;
2007-08-31;0;
2007-09-30;2,2;
2007-10-31;93,8;
2007-11-30;null;
2007-12-31;298,6;
2008-01-31;326,4;
2008-02-29;174,2;
2008-03-31;217,2;
2008-04-30;95;
2008-05-31;0;
2008-06-30;null;

