Nome: BELO HORIZONTE (PAMPULHA)
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2006-10-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-10-31;null;
2006-11-30;390,2;
2006-12-31;396,8;
2007-01-31;null;
2007-02-28;null;
2007-03-31;178,2;
2007-04-30;110;
2007-05-31;10,2;
2007-06-30;0;
2007-07-31;null;
2007-08-31;,2;
2007-09-30;2,8;
2007-10-31;147,6;
2007-11-30;null;
2007-12-31;326,4;
2008-01-31;442,2;
2008-02-29;217,6;
2008-03-31;369,8;
2008-04-30;164,2;
2008-05-31;4,4;
2008-06-30;9,6;
2008-07-31;0;
2008-08-31;43,6;
2008-09-30;136,8;
2008-10-31;null;
2008-11-30;361;
2008-12-31;770;
2009-01-31;442,4;
2009-02-28;193;
2009-03-31;242,8;
2009-04-30;120,6;
2009-05-31;19,6;
2009-06-30;22,8;
2009-07-31;,2;
2009-08-31;36,8;
2009-09-30;51,2;
2009-10-31;426,2;
2009-11-30;143,8;
2009-12-31;696;
2010-01-31;236,4;
2010-02-28;100,6;
2010-03-31;261,2;
2010-04-30;49,6;
2010-05-31;31;
2010-06-30;1,4;
2010-07-31;0;
2010-08-31;0;
2010-09-30;69,2;
2010-10-31;204;
2010-11-30;427,2;
2010-12-31;257,2;
2011-01-31;331,2;
2011-02-28;70,8;
2011-03-31;296,4;
2011-04-30;40,8;
2011-05-31;,8;
2011-06-30;10,6;
2011-07-31;0;
2011-08-31;0;
2011-09-30;2,6;
2011-10-31;210,6;
2011-11-30;257,4;
2011-12-31;796,2;
2012-01-31;492,2;
2012-02-29;57,6;
2012-03-31;279,2;
2012-04-30;60,8;
2012-05-31;74,6;
2012-06-30;7,2;
2012-07-31;0;
2012-08-31;0;
2012-09-30;28,8;
2012-10-31;51,8;
2012-11-30;346,4;
2012-12-31;96,4;
2013-01-31;346,4;
2013-02-28;138,8;
2013-03-31;137,6;
2013-04-30;164,4;
2013-05-31;64,2;
2013-06-30;15,6;
2013-07-31;0;
2013-08-31;0;
2013-09-30;42;
2013-10-31;183,8;
2013-11-30;149,4;
2013-12-31;570,4;
2014-01-31;76,8;
2014-02-28;57,2;
2014-03-31;100,4;
2014-04-30;234;
2014-05-31;5,6;
2014-06-30;9,4;
2014-07-31;66,6;
2014-08-31;1,6;
2014-09-30;2,2;
2014-10-31;128,6;
2014-11-30;237,8;
2014-12-31;200,2;
2015-01-31;81,2;
2015-02-28;345,2;
2015-03-31;181,4;
2015-04-30;60,4;
2015-05-31;77;
2015-06-30;6,2;
2015-07-31;15,2;
2015-08-31;0;
2015-09-30;55,2;
2015-10-31;62,2;
2015-11-30;207,2;
2015-12-31;160,4;
2016-01-31;375,4;
2016-02-29;238;
2016-03-31;108,6;
2016-04-30;36,2;
2016-05-31;0;
2016-06-30;48,2;
2016-07-31;0;
2016-08-31;,2;
2016-09-30;44,4;
2016-10-31;65,6;
2016-11-30;213;
2016-12-31;326;
2017-01-31;179,6;
2017-02-28;164,4;
2017-03-31;88,6;
2017-04-30;29,4;
2017-05-31;28;
2017-06-30;24,8;
2017-07-31;0;
2017-08-31;0;
2017-09-30;34,2;
2017-10-31;130;
2017-11-30;203;
2017-12-31;311;
2018-01-31;183,8;
2018-02-28;284,2;
2018-03-31;368;
2018-04-30;13,2;
2018-05-31;11,4;
2018-06-30;0;
2018-07-31;,4;
2018-08-31;41;
2018-09-30;51;
2018-10-31;176;
2018-11-30;265;
2018-12-31;281,2;
2019-01-31;83;
2019-02-28;203,2;
2019-03-31;138,2;
2019-04-30;114,6;
2019-05-31;47;
2019-06-30;4,8;
2019-07-31;0;
2019-08-31;0;
2019-09-30;19,4;
2019-10-31;56,2;
2019-11-30;202;
2019-12-31;213,4;
2020-01-31;739,8;
2020-02-29;344,6;
2020-03-31;318;
2020-04-30;101;
2020-05-31;27,8;
2020-06-30;4,4;
2020-07-31;2,4;
2020-08-31;13,8;
2020-09-30;null;
2020-10-31;114;
2020-11-30;150,2;
2020-12-31;232,4;
2021-01-31;233,6;
2021-02-28;407,6;
2021-03-31;105,8;
2021-04-30;7,6;
2021-05-31;5,2;
2021-06-30;17;
2021-07-31;0;
2021-08-31;13,4;
2021-09-30;7,4;
2021-10-31;241,6;
2021-11-30;245,4;
2021-12-31;391,4;
2022-01-31;430;
2022-02-28;326,8;
2022-03-31;4,8;
2022-04-30;28,2;
2022-05-31;65,4;
2022-06-30;0;
2022-07-31;0;
2022-08-31;0;
2022-09-30;53;
2022-10-31;114,8;
2022-11-30;264,2;
2022-12-31;321,6;

