Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2007-06-04
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-06-30;null;
2007-07-31;,8;
2007-08-31;,2;
2007-09-30;4,4;
2007-10-31;13,6;
2007-11-30;null;
2007-12-31;227,4;
2008-01-31;194,6;
2008-02-29;207,6;
2008-03-31;150,2;
2008-04-30;93,8;
2008-05-31;64,6;
2008-06-30;1,4;
2008-07-31;2,2;
2008-08-31;,2;
2008-09-30;68,4;
2008-10-31;57,8;
2008-11-30;292,6;
2008-12-31;406,4;
2009-01-31;219,2;
2009-02-28;134;
2009-03-31;133,2;
2009-04-30;76,6;
2009-05-31;5,4;
2009-06-30;29,8;
2009-07-31;1,4;
2009-08-31;9,2;
2009-09-30;59,4;
2009-10-31;340;
2009-11-30;143,8;
2009-12-31;299,6;
2010-01-31;105,8;
2010-02-28;58,2;
2010-03-31;181,6;
2010-04-30;51,4;
2010-05-31;47,6;
2010-06-30;16,4;
2010-07-31;2,8;
2010-08-31;null;
2010-09-30;5;
2010-10-31;123,8;
2010-11-30;276,4;
2010-12-31;286,2;
2011-01-31;214,4;
2011-02-28;90;
2011-03-31;340;
2011-04-30;73,2;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;,6;
2011-09-30;,4;
2011-10-31;208,8;
2011-11-30;356;
2011-12-31;356,2;
2012-01-31;393,6;
2012-02-29;62,2;
2012-03-31;177,8;
2012-04-30;51;
2012-05-31;80,2;
2012-06-30;26,6;
2012-07-31;3,6;
2012-08-31;17,4;
2012-09-30;25,8;
2012-10-31;47;
2012-11-30;429,4;
2012-12-31;110,6;
2013-01-31;434,6;
2013-02-28;8,4;
2013-03-31;149;
2013-04-30;160,6;
2013-05-31;12,6;
2013-06-30;18,6;
2013-07-31;2,2;
2013-08-31;4,2;
2013-09-30;40,4;
2013-10-31;68;
2013-11-30;188,2;
2013-12-31;635,8;
2014-01-31;69,6;
2014-02-28;46,8;
2014-03-31;78,8;
2014-04-30;79,6;
2014-05-31;18,8;
2014-06-30;9,2;
2014-07-31;31,2;
2014-08-31;17,6;
2014-09-30;6,6;
2014-10-31;66,4;
2014-11-30;158;
2014-12-31;153,4;
2015-01-31;43,4;
2015-02-28;284,6;
2015-03-31;204,4;
2015-04-30;141,4;
2015-05-31;45;
2015-06-30;2,8;
2015-07-31;2;
2015-08-31;25,6;
2015-09-30;5,8;
2015-10-31;36,4;
2015-11-30;176,2;
2015-12-31;158,4;
2016-01-31;428,6;
2016-02-29;73,4;
2016-03-31;72,2;
2016-04-30;73,4;
2016-05-31;34,4;
2016-06-30;4,6;
2016-07-31;4;
2016-08-31;2,6;
2016-09-30;26,8;
2016-10-31;51,6;
2016-11-30;272,6;
2016-12-31;160,8;
2017-01-31;135,8;
2017-02-28;229,2;
2017-03-31;109,8;
2017-04-30;34;
2017-05-31;57,4;
2017-06-30;4,2;
2017-07-31;3,4;
2017-08-31;0;
2017-09-30;1,4;
2017-10-31;46,6;
2017-11-30;189;
2017-12-31;231;
2018-01-31;80;
2018-02-28;287;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;2,6;
2018-07-31;3,2;
2018-08-31;30,6;
2018-09-30;null;
2018-10-31;181,4;
2018-11-30;275;
2018-12-31;260,8;
2019-01-31;50;
2019-02-28;187,2;
2019-03-31;129,8;
2019-04-30;69,4;
2019-05-31;32,4;
2019-06-30;5,2;
2019-07-31;,2;
2019-08-31;9,2;
2019-09-30;40,8;
2019-10-31;77,4;
2019-11-30;208,8;
2019-12-31;235,8;
2020-01-31;581,8;
2020-02-29;179,6;
2020-03-31;347,2;
2020-04-30;114,2;
2020-05-31;20,8;
2020-06-30;7;
2020-07-31;3,2;
2020-08-31;11;
2020-09-30;11;
2020-10-31;208,4;
2020-11-30;205,6;
2020-12-31;208,2;
2021-01-31;154,4;
2021-02-28;432;
2021-03-31;44,8;
2021-04-30;69,2;
2021-05-31;1;
2021-06-30;24,2;
2021-07-31;0;
2021-08-31;2,6;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;257,4;
2022-02-28;295,2;
2022-03-31;14,6;
2022-04-30;24,6;
2022-05-31;23,6;
2022-06-30;1,2;
2022-07-31;0;
2022-08-31;1,6;
2022-09-30;24,4;
2022-10-31;47;
2022-11-30;242,8;
2022-12-31;375,8;

