Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.747711
Longitude: -44.453785
Altitude: 669.48
Situacao: Operante
Data Inicial: 2006-12-17
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;73,8;
2007-04-30;54;
2007-05-31;,8;
2007-06-30;1,2;
2007-07-31;3,4;
2007-08-31;0;
2007-09-30;0;
2007-10-31;7,4;
2007-11-30;null;
2007-12-31;165,8;
2008-01-31;294,2;
2008-02-29;124,4;
2008-03-31;140,2;
2008-04-30;59,2;
2008-05-31;0;
2008-06-30;0;
2008-07-31;0;
2008-08-31;3,8;
2008-09-30;49,8;
2008-10-31;42;
2008-11-30;258,8;
2008-12-31;429,6;
2009-01-31;201;
2009-02-28;97,8;
2009-03-31;207;
2009-04-30;50;
2009-05-31;24;
2009-06-30;19,6;
2009-07-31;0;
2009-08-31;35,6;
2009-09-30;51;
2009-10-31;244;
2009-11-30;87;
2009-12-31;245;
2010-01-31;181,6;
2010-02-28;25;
2010-03-31;242;
2010-04-30;17,4;
2010-05-31;39,4;
2010-06-30;14,8;
2010-07-31;0;
2010-08-31;0;
2010-09-30;8,2;
2010-10-31;147,2;
2010-11-30;269,2;
2010-12-31;293;
2011-01-31;123;
2011-02-28;54,4;
2011-03-31;207,4;
2011-04-30;34,8;
2011-05-31;,2;
2011-06-30;1;
2011-07-31;0;
2011-08-31;0;
2011-09-30;0;
2011-10-31;171;
2011-11-30;208;
2011-12-31;331,8;
2012-01-31;274,6;
2012-02-29;67,2;
2012-03-31;77,6;
2012-04-30;36,4;
2012-05-31;39,6;
2012-06-30;1,8;
2012-07-31;0;
2012-08-31;,4;
2012-09-30;4,2;
2012-10-31;10,6;
2012-11-30;null;
2012-12-31;248,4;
2013-01-31;304,6;
2013-02-28;199,4;
2013-03-31;238,6;
2013-04-30;75;
2013-05-31;42,8;
2013-06-30;6,8;
2013-07-31;0;
2013-08-31;1,4;
2013-09-30;77,2;
2013-10-31;57,4;
2013-11-30;108;
2013-12-31;525,8;
2014-01-31;56,2;
2014-02-28;1,4;
2014-03-31;51,8;
2014-04-30;38;
2014-05-31;1,6;
2014-06-30;1,6;
2014-07-31;24,2;
2014-08-31;2;
2014-09-30;1,6;
2014-10-31;19,4;
2014-11-30;121,8;
2014-12-31;124,8;
2015-01-31;71,2;
2015-02-28;255,6;
2015-03-31;111,6;
2015-04-30;102;
2015-05-31;19,8;
2015-06-30;,8;
2015-07-31;0;
2015-08-31;0;
2015-09-30;49,2;
2015-10-31;73,4;
2015-11-30;177;
2015-12-31;198,2;
2016-01-31;180,2;
2016-02-29;97,6;
2016-03-31;147,8;
2016-04-30;16,6;
2016-05-31;23,8;
2016-06-30;0;
2016-07-31;0;
2016-08-31;8;
2016-09-30;69,8;
2016-10-31;92;
2016-11-30;251,4;
2016-12-31;262,6;
2017-01-31;70;
2017-02-28;87,6;
2017-03-31;94,4;
2017-04-30;null;
2017-05-31;47;
2017-06-30;16,6;
2017-07-31;0;
2017-08-31;null;
2017-09-30;null;
2017-10-31;31,6;
2017-11-30;110,2;
2017-12-31;273,6;
2018-01-31;180;
2018-02-28;310,2;
2018-03-31;197,6;
2018-04-30;48,6;
2018-05-31;18,8;
2018-06-30;,4;
2018-07-31;0;
2018-08-31;1,6;
2018-09-30;23,2;
2018-10-31;84,8;
2018-11-30;216,4;
2018-12-31;309,6;
2019-01-31;10,6;
2019-02-28;null;
2019-03-31;135,2;
2019-04-30;19,6;
2019-05-31;12,2;
2019-06-30;,4;
2019-07-31;1,4;
2019-08-31;,2;
2019-09-30;14,4;
2019-10-31;14,6;
2019-11-30;95,6;
2019-12-31;370,4;
2020-01-31;312,8;
2020-02-29;180,6;
2020-03-31;207,6;
2020-04-30;59;
2020-05-31;57,4;
2020-06-30;,2;
2020-07-31;0;
2020-08-31;7,8;
2020-09-30;,4;
2020-10-31;165,8;
2020-11-30;132,6;
2020-12-31;119;
2021-01-31;49,8;
2021-02-28;221;
2021-03-31;41,8;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;356;
2022-01-31;189,2;
2022-02-28;279;
2022-03-31;0;
2022-04-30;17,8;
2022-05-31;14,4;
2022-06-30;0;
2022-07-31;0;
2022-08-31;,2;
2022-09-30;12,6;
2022-10-31;41,4;
2022-11-30;152,4;
2022-12-31;416;

