Nome: PIRAPORA
Codigo Estacao: A545
Latitude: -17.258064
Longitude: -44.835556
Altitude: 505.32
Situacao: Operante
Data Inicial: 2007-07-03
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2007-07-31;null;
2007-08-31;0;
2007-09-30;3,4;
2007-10-31;0;
2007-11-30;null;
2007-12-31;74,4;
2008-01-31;224,6;
2008-02-29;146,4;
2008-03-31;193,8;
2008-04-30;75,4;
2008-05-31;8,4;
2008-06-30;0;
2008-07-31;0;
2008-08-31;0;
2008-09-30;7,4;
2008-10-31;7;
2008-11-30;118,4;
2008-12-31;224,6;
2009-01-31;200,6;
2009-02-28;67,6;
2009-03-31;111,4;
2009-04-30;76,4;
2009-05-31;3,2;
2009-06-30;,2;
2009-07-31;0;
2009-08-31;29,4;
2009-09-30;63,2;
2009-10-31;216,2;
2009-11-30;109,8;
2009-12-31;324,4;
2010-01-31;43,6;
2010-02-28;24,2;
2010-03-31;161,8;
2010-04-30;65,2;
2010-05-31;6,8;
2010-06-30;,4;
2010-07-31;0;
2010-08-31;0;
2010-09-30;0;
2010-10-31;null;
2010-11-30;248,4;
2010-12-31;245,8;
2011-01-31;185,2;
2011-02-28;49,4;
2011-03-31;434,4;
2011-04-30;46;
2011-05-31;,6;
2011-06-30;,2;
2011-07-31;,2;
2011-08-31;0;
2011-09-30;0;
2011-10-31;137,6;
2011-11-30;201,6;
2011-12-31;365,2;
2012-01-31;null;
2012-02-29;23,8;
2012-03-31;117,2;
2012-04-30;4,4;
2012-05-31;53,6;
2012-06-30;1,8;
2012-07-31;0;
2012-08-31;0;
2012-09-30;3,8;
2012-10-31;5,2;
2012-11-30;326,6;
2012-12-31;51,8;
2013-01-31;218;
2013-02-28;25;
2013-03-31;130,4;
2013-04-30;137,4;
2013-05-31;4,4;
2013-06-30;1,4;
2013-07-31;0;
2013-08-31;0;
2013-09-30;50,4;
2013-10-31;null;
2013-11-30;215;
2013-12-31;511,8;
2014-01-31;128,4;
2014-02-28;24,4;
2014-03-31;98,8;
2014-04-30;4,2;
2014-05-31;0;
2014-06-30;0;
2014-07-31;5,2;
2014-08-31;0;
2014-09-30;3,2;
2014-10-31;30;
2014-11-30;243,4;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;77;
2015-04-30;32;
2015-05-31;null;
2015-06-30;0;
2015-07-31;null;
2015-08-31;0;
2015-09-30;null;
2015-10-31;null;
2015-11-30;197;
2015-12-31;53,6;
2016-01-31;482,4;
2016-02-29;57,8;
2016-03-31;112,2;
2016-04-30;21,2;
2016-05-31;,8;
2016-06-30;0;
2016-07-31;0;
2016-08-31;0;
2016-09-30;22,8;
2016-10-31;29,2;
2016-11-30;222,2;
2016-12-31;89,2;
2017-01-31;60,2;
2017-02-28;null;
2017-03-31;null;
2017-04-30;9,6;
2017-05-31;44,8;
2017-06-30;0;
2017-07-31;0;
2017-08-31;0;
2017-09-30;null;
2017-10-31;54,2;
2017-11-30;95,4;
2017-12-31;270;
2018-01-31;65;
2018-02-28;138,4;
2018-03-31;92;
2018-04-30;44,2;
2018-05-31;29,4;
2018-06-30;0;
2018-07-31;0;
2018-08-31;4,8;
2018-09-30;0;
2018-10-31;98,8;
2018-11-30;223,8;
2018-12-31;342,4;
2019-01-31;161,8;
2019-02-28;200,2;
2019-03-31;103,4;
2019-04-30;null;
2019-05-31;3,8;
2019-06-30;0;
2019-07-31;null;
2019-08-31;0;
2019-09-30;25,6;
2019-10-31;37,2;
2019-11-30;164;
2019-12-31;196,2;
2020-01-31;276,8;
2020-02-29;199,6;
2020-03-31;180;
2020-04-30;61,2;
2020-05-31;34,4;
2020-06-30;0;
2020-07-31;0;
2020-08-31;0;
2020-09-30;,8;
2020-10-31;111,6;
2020-11-30;203,6;
2020-12-31;156,8;
2021-01-31;162,8;
2021-02-28;402,2;
2021-03-31;91,2;
2021-04-30;19,2;
2021-05-31;0;
2021-06-30;0;
2021-07-31;0;
2021-08-31;0;
2021-09-30;0;
2021-10-31;120,2;
2021-11-30;196,6;
2021-12-31;277,6;
2022-01-31;232,8;
2022-02-28;197;
2022-03-31;0;
2022-04-30;1,2;
2022-05-31;3,8;
2022-06-30;0;
2022-07-31;0;
2022-08-31;0;
2022-09-30;9,4;
2022-10-31;null;
2022-11-30;null;
2022-12-31;188,2;

