Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2016-06-09
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2016-06-30;null;
2016-07-31;0;
2016-08-31;5,2;
2016-09-30;68,6;
2016-10-31;67,2;
2016-11-30;374,2;
2016-12-31;251,2;
2017-01-31;119,2;
2017-02-28;128,6;
2017-03-31;97,4;
2017-04-30;15,6;
2017-05-31;27,8;
2017-06-30;9,6;
2017-07-31;,2;
2017-08-31;0;
2017-09-30;4,2;
2017-10-31;null;
2017-11-30;178,6;
2017-12-31;null;
2018-01-31;null;
2018-02-28;399,4;
2018-03-31;109,2;
2018-04-30;1,8;
2018-05-31;7;
2018-06-30;,2;
2018-07-31;0;
2018-08-31;36,2;
2018-09-30;68,6;
2018-10-31;146,4;
2018-11-30;249,8;
2018-12-31;371,4;
2019-01-31;69,6;
2019-02-28;264,6;
2019-03-31;108,8;
2019-04-30;88,4;
2019-05-31;17,4;
2019-06-30;,8;
2019-07-31;0;
2019-08-31;0;
2019-09-30;13,4;
2019-10-31;27,8;
2019-11-30;172,6;
2019-12-31;312,6;
2020-01-31;369;
2020-02-29;214,4;
2020-03-31;277;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;10;
2020-09-30;4,4;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;248,6;
2021-02-28;595;
2021-03-31;42,6;
2021-04-30;8,6;
2021-05-31;,2;
2021-06-30;2,2;
2021-07-31;null;
2021-08-31;null;
2021-09-30;13,6;
2021-10-31;201,4;
2021-11-30;264,6;
2021-12-31;333,4;
2022-01-31;296,6;
2022-02-28;351,2;
2022-03-31;0;
2022-04-30;28,2;
2022-05-31;35,2;
2022-06-30;1,4;
2022-07-31;1,2;
2022-08-31;0;
2022-09-30;39;
2022-10-31;67,4;
2022-11-30;189,4;
2022-12-31;378,8;

