Nome: BELO HORIZONTE - CERCADINHO
Codigo Estacao: F501
Latitude: -19.97999999
Longitude: -43.95861111
Altitude: 1199.55
Situacao: Operante
Data Inicial: 2013-12-26
Data Final: 2022-12-31
Periodicidade da Medicao: Mensal

Data Medicao;PRECIPITACAO TOTAL, MENSAL (AUT)(mm);
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;139,8;
2014-04-30;67,2;
2014-05-31;28,8;
2014-06-30;5,2;
2014-07-31;49,4;
2014-08-31;3,6;
2014-09-30;1,8;
2014-10-31;78,2;
2014-11-30;207,8;
2014-12-31;136,2;
2015-01-31;131,8;
2015-02-28;259,8;
2015-03-31;217,6;
2015-04-30;42,6;
2015-05-31;73;
2015-06-30;4,4;
2015-07-31;7,4;
2015-08-31;0;
2015-09-30;44,2;
2015-10-31;124,6;
2015-11-30;279;
2015-12-31;159,4;
2016-01-31;365;
2016-02-29;188;
2016-03-31;110;
2016-04-30;25,2;
2016-05-31;,2;
2016-06-30;57,8;
2016-07-31;,4;
2016-08-31;,4;
2016-09-30;64,6;
2016-10-31;51,2;
2016-11-30;380,6;
2016-12-31;248,8;
2017-01-31;113,8;
2017-02-28;186,4;
2017-03-31;152,8;
2017-04-30;88;
2017-05-31;15,2;
2017-06-30;21,6;
2017-07-31;,2;
2017-08-31;,2;
2017-09-30;35,6;
2017-10-31;170,2;
2017-11-30;157,2;
2017-12-31;296,6;
2018-01-31;156,2;
2018-02-28;324,4;
2018-03-31;348;
2018-04-30;11;
2018-05-31;18,4;
2018-06-30;,6;
2018-07-31;3,6;
2018-08-31;49,6;
2018-09-30;59,4;
2018-10-31;137;
2018-11-30;292;
2018-12-31;283;
2019-01-31;61,4;
2019-02-28;240,4;
2019-03-31;142,6;
2019-04-30;109,4;
2019-05-31;66,8;
2019-06-30;13,2;
2019-07-31;0;
2019-08-31;9,4;
2019-09-30;29,4;
2019-10-31;69,4;
2019-11-30;254,4;
2019-12-31;215;
2020-01-31;966,6;
2020-02-29;407;
2020-03-31;304,8;
2020-04-30;97;
2020-05-31;54,6;
2020-06-30;2,2;
2020-07-31;12;
2020-08-31;12;
2020-09-30;11,6;
2020-10-31;84,8;
2020-11-30;181,2;
2020-12-31;264,4;
2021-01-31;223,2;
2021-02-28;489,8;
2021-03-31;168,4;
2021-04-30;10,8;
2021-05-31;2,4;
2021-06-30;36;
2021-07-31;2,4;
2021-08-31;23,6;
2021-09-30;20,6;
2021-10-31;246,2;
2021-11-30;260,8;
2021-12-31;395,2;
2022-01-31;660,8;
2022-02-28;284,8;
2022-03-31;25;
2022-04-30;46;
2022-05-31;70;
2022-06-30;,6;
2022-07-31;0;
2022-08-31;,4;
2022-09-30;47;
2022-10-31;null;
2022-11-30;272,2;
2022-12-31;452,6;

