nomeEstacao,latitude,longitude,valorMedida,data
Centro,-19.51701,-43.74518,41.800000000000004,2018-03
Centro,-19.51701,-43.74518,1.6,2018-04
Centro,-19.51701,-43.74518,15.6,2018-05
Centro,-19.51701,-43.74518,0.0,2018-06
Centro,-19.51701,-43.74518,0.0,2018-07
Centro,-19.51701,-43.74518,45.4,2018-08
Centro,-19.51701,-43.74518,27.6,2018-09
Centro,-19.51701,-43.74518,123.8,2018-10
Centro,-19.51701,-43.74518,190.6,2018-11
Centro,-19.51701,-43.74518,304.2,2018-12
Centro,-19.51701,-43.74518,41.4,2019-01
Centro,-19.51701,-43.74518,286.6,2019-02
Centro,-19.51701,-43.74518,116.8,2019-03
Centro,-19.51701,-43.74518,24.2,2019-04
Centro,-19.51701,-43.74518,54.0,2019-05
Centro,-19.51701,-43.74518,1.2,2019-06
Centro,-19.51701,-43.74518,0.2,2019-07
Centro,-19.51701,-43.74518,0.2,2019-08
Centro,-19.51701,-43.74518,9.6,2019-09
Centro,-19.51701,-43.74518,69.0,2019-10
Centro,-19.51701,-43.74518,178.8,2019-11
Centro,-19.51701,-43.74518,220.8,2019-12
Centro,-19.51701,-43.74518,377.4,2020-01
Centro,-19.51701,-43.74518,272.6,2020-02
Centro,-19.51701,-43.74518,225.6,2020-03
Centro,-19.51701,-43.74518,114.0,2020-04
Centro,-19.51701,-43.74518,30.6,2020-05
Centro,-19.51701,-43.74518,0.4,2020-06
Centro,-19.51701,-43.74518,11.0,2020-07
Centro,-19.51701,-43.74518,4.0,2020-08
Centro,-19.51701,-43.74518,4.8,2020-09
Centro,-19.51701,-43.74518,175.6,2020-10
Centro,-19.51701,-43.74518,114.0,2020-11
Centro,-19.51701,-43.74518,153.0,2020-12
Centro,-19.51701,-43.74518,158.8,2021-01
Centro,-19.51701,-43.74518,413.0,2021-02
Centro,-19.51701,-43.74518,52.0,2021-03
Centro,-19.51701,-43.74518,7.8,2021-04
Centro,-19.51701,-43.74518,1.7999999999999998,2021-05
Centro,-19.51701,-43.74518,5.2,2021-06
Centro,-19.51701,-43.74518,0.0,2021-07
Centro,-19.51701,-43.74518,7.4,2021-08
Centro,-19.51701,-43.74518,7.0,2021-09
Centro,-19.51701,-43.74518,152.6,2021-10
Centro,-19.51701,-43.74518,236.20000000000002,2021-11
Centro,-19.51701,-43.74518,356.4,2021-12
Centro,-19.51701,-43.74518,295.4,2022-01
Centro,-19.51701,-43.74518,368.4,2022-02
Centro,-19.51701,-43.74518,2.4,2022-03
Centro,-19.51701,-43.74518,5.0,2022-04
Centro,-19.51701,-43.74518,11.8,2022-05
Centro,-19.51701,-43.74518,0.0,2022-06
Centro,-19.51701,-43.74518,0.0,2022-07
Centro,-19.51701,-43.74518,0.0,2022-08
Centro,-19.51701,-43.74518,16.0,2022-09
Centro,-19.51701,-43.74518,109.0,2022-10
Centro,-19.51701,-43.74518,281.0,2022-11
Centro,-19.51701,-43.74518,303.2,2022-12
