Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Médias Anuais Qa;Máximas Anuais Qmλ;Mínimas Anuais Qmν;Mediana;Variação Absoluta;Variação Percentual - VP;Desvio Padrão;Coef. de Variação Cv;;;;;;;;;;;;;;;
1971;;;;;11.473;14.010;11.944;10.796;14.369;19.381;36.563;40.594;19.891;40.594;10.796;14.190;20.703;376.0%;11.884;0.597;28.349;;;;;;;;;;;;;;
1972;22.730;26.665;35.202;22.363;14.500;13.205;15.762;14.087;15.566;19.800;25.303;53.371;23.213;53.371;13.205;21.082;30.158;404.2%;11.503;0.496;;;;;;;;;;;;;;;
1973;62.099;39.424;63.636;29.041;20.894;16.798;16.443;16.596;15.211;18.736;32.115;42.630;31.135;63.636;15.211;24.968;32.501;418.4%;17.493;0.562;;;;;;;;;;;;;;;
1974;49.223;21.533;37.268;30.492;20.093;16.094;15.134;13.626;11.862;21.100;16.470;35.205;24.008;49.223;11.862;20.597;25.215;415.0%;11.530;0.480;;;;;;;;;;;;;;;
1975;51.135;41.260;21.012;21.438;16.420;14.166;14.270;12.824;11.205;15.078;25.011;22.745;22.214;51.135;11.205;18.716;28.921;456.4%;12.177;0.548;;;;;;;;;;;;;;;
1976;16.949;20.642;18.843;14.819;12.820;11.733;12.340;11.647;20.729;24.858;35.670;46.442;20.624;46.442;11.647;17.896;25.818;398.7%;10.662;0.517;;;;;;;;;;;;;;;
1977;67.861;39.583;29.697;22.292;15.811;14.934;13.111;13.348;12.990;12.915;18.344;24.573;23.788;67.861;12.915;17.078;44.073;525.4%;16.122;0.678;;;;;;;;;;;;;;;
1978;53.724;34.529;25.337;21.733;20.324;18.289;16.970;14.847;14.564;19.003;27.771;39.437;25.544;53.724;14.564;21.029;28.180;368.9%;11.749;0.460;;;;;;;;;;;;;;;
1979;70.859;140.039;63.319;37.708;29.889;23.490;22.569;23.866;22.773;17.356;30.546;65.327;45.645;140.039;17.356;30.218;94.394;806.9%;35.170;0.771;;;;;;;;;;;;;;;
1980;97.522;40.474;28.243;41.439;27.968;27.092;21.621;18.469;17.828;17.043;51.764;73.379;38.570;97.522;17.043;28.106;58.952;572.2%;24.879;0.645;;;;;;;;;;;;;;;
1981;56.873;39.737;36.400;28.669;22.365;20.768;17.479;15.711;15.530;18.581;55.639;57.411;32.097;57.411;15.530;25.517;25.314;369.7%;16.679;0.520;;;;;;;;;;;;;;;
1982;87.412;42.632;73.612;38.771;28.475;24.814;22.732;20.003;17.915;24.424;19.015;34.550;36.196;87.412;17.915;26.645;51.216;487.9%;22.309;0.616;;;;;;;;;;;;;;;
1983;99.225;69.743;62.411;49.167;27.278;24.310;23.403;18.346;23.885;31.629;43.971;86.522;46.658;99.225;18.346;37.800;52.568;540.9%;27.151;0.582;;;;;;;;;;;;;;;
1984;40.616;29.756;32.607;26.949;21.095;17.061;15.684;19.209;17.654;15.416;21.053;46.107;25.267;46.107;15.416;21.074;20.840;299.1%;10.148;0.402;;;;;;;;;;;;;;;
1985;107.977;72.696;91.465;48.453;33.382;27.664;25.358;23.905;22.192;24.998;29.878;65.263;47.769;107.977;22.192;31.630;60.208;486.6%;29.600;0.620;;;;;;;;;;;;;;;
1986;55.064;48.563;41.969;29.608;24.255;17.806;17.953;16.907;14.005;16.062;20.745;41.032;28.664;55.064;14.005;22.500;26.400;393.2%;14.304;0.499;;;;;;;;;;;;;;;
1987;33.840;24.120;48.813;30.384;22.743;18.509;16.526;15.052;16.666;15.770;18.173;65.467;27.172;65.467;15.052;20.626;38.295;434.9%;15.595;0.574;;;;;;;;;;;;;;;
1988;42.725;70.274;37.357;29.537;24.494;21.362;19.601;18.284;17.646;18.073;20.651;31.206;29.268;70.274;17.646;22.928;41.007;398.2%;15.273;0.522;;;;;;;;;;;;;;;
1989;30.076;38.965;37.542;19.549;16.841;16.385;16.205;15.928;14.599;21.075;23.590;49.630;25.032;49.630;14.599;20.312;24.598;340.0%;11.443;0.457;;;;;;;;;;;;;;;
1990;24.612;19.171;23.692;17.116;18.496;15.002;14.790;15.145;15.206;17.644;20.351;21.419;18.554;24.612;14.790;18.070;6.058;166.4%;3.404;0.183;;;;;;;;;;;;;;;
1991;96.478;57.527;46.935;34.332;24.837;19.181;17.906;17.088;17.713;21.362;23.033;28.225;33.718;96.478;17.088;23.935;62.760;564.6%;23.453;0.696;;;;;;;;;;;;;;;
1992;88.926;67.117;37.071;22.506;18.813;19.134;17.472;16.970;20.042;23.052;42.423;57.556;35.924;88.926;16.970;22.779;53.003;524.0%;23.676;0.659;;;;;;;;;;;;;;;
1993;50.266;43.988;36.552;38.530;27.586;25.038;22.365;20.258;21.375;23.281;25.611;30.672;30.460;50.266;20.258;26.599;19.806;248.1%;9.735;0.320;;;;;;;;;;;;;;;
1994;70.433;25.975;43.356;30.103;23.710;19.718;18.727;17.563;17.888;18.517;22.300;44.755;29.420;70.433;17.563;23.005;41.013;401.0%;15.977;0.543;;;;;;;;;;;;;;;
1995;21.777;40.028;32.647;29.397;23.474;20.317;17.700;17.777;17.362;21.893;22.621;74.121;28.260;74.121;17.362;22.257;45.862;426.9%;15.962;0.565;;;;;;;;;;;;;;;
1996;65.923;30.593;33.590;25.289;18.119;17.675;18.337;15.985;17.712;21.537;55.179;67.345;32.274;67.345;15.985;23.413;35.071;421.3%;19.402;0.601;;;;;;;;;;;;;;;
1997;143.268;42.571;49.011;38.539;30.640;27.051;22.502;20.167;20.163;22.145;24.279;41.152;40.124;143.268;20.163;28.846;103.144;710.5%;33.938;0.846;;;;;;;;;;;;;;;
1998;55.446;32.638;31.105;25.330;25.270;16.209;15.838;16.586;15.465;20.621;25.878;23.701;25.341;55.446;15.465;24.486;30.105;358.5%;11.143;0.440;;;;;;;;;;;;;;;
1999;27.752;15.013;31.577;14.923;12.429;12.736;12.340;11.513;12.136;15.245;26.809;48.679;20.096;48.679;11.513;14.968;28.583;422.8%;11.437;0.569;;;;;;;;;;;;;;;
2000;62.819;51.089;30.179;21.836;20.076;13.755;13.696;15.875;19.769;15.340;26.304;43.098;27.820;62.819;13.696;20.956;34.999;458.7%;16.136;0.580;;;;;;;;;;;;;;;
2001;39.113;16.214;21.063;14.839;14.885;13.858;13.058;12.576;14.937;15.470;28.709;58.690;21.951;58.690;12.576;15.204;36.739;466.7%;13.973;0.637;;;;;;;;;;;;;;;
2002;51.024;55.590;26.881;19.463;18.101;15.234;14.643;14.752;17.119;13.849;20.649;45.000;26.025;55.590;13.849;18.782;29.565;401.4%;15.360;0.590;;;;;;;;;;;;;;;
2003;101.519;33.293;29.527;21.091;18.494;16.764;14.752;14.046;13.783;12.061;20.395;32.134;27.322;101.519;12.061;19.445;74.197;841.7%;24.487;0.896;;;;;;;;;;;;;;;
2004;46.312;49.160;34.006;30.592;21.931;19.157;19.567;17.772;14.694;18.395;17.556;43.808;27.746;49.160;14.694;20.749;21.414;334.6%;12.592;0.454;;;;;;;;;;;;;;;
2005;48.202;32.969;57.820;29.368;26.142;22.828;19.902;17.593;19.286;18.992;33.173;62.260;32.378;62.260;17.593;27.755;29.882;353.9%;15.538;0.480;;;;;;;;;;;;;;;
2006;36.784;32.603;40.271;28.888;23.414;20.363;19.215;19.254;18.112;23.889;30.532;48.787;28.509;48.787;18.112;26.389;20.278;269.4%;9.690;0.340;;;;;;;;;;;;;;;
2007;63.648;39.792;21.484;21.568;19.424;18.766;16.681;14.596;12.631;14.682;18.785;30.548;24.384;63.648;12.631;19.105;39.264;503.9%;14.486;0.594;;;;;;;;;;;;;;;
2008;32.157;40.034;48.447;33.803;18.644;16.931;16.177;16.049;17.217;16.282;24.617;86.621;30.582;86.621;16.049;21.631;56.039;539.7%;20.732;0.678;;;;;;;;;;;;;;;
2009;81.044;59.499;45.623;50.058;31.938;26.709;24.550;21.872;25.172;36.723;34.753;66.732;42.056;81.044;21.872;35.738;38.988;370.5%;18.898;0.449;;;;;;;;;;;;;;;
2010;55.807;28.741;40.404;26.028;22.990;19.558;19.727;18.534;17.981;22.104;36.777;35.743;28.700;55.807;17.981;24.509;27.108;310.4%;11.490;0.400;;;;;;;;;;;;;;;
2011;54.302;25.700;43.866;26.170;19.245;17.689;18.052;16.045;15.336;19.285;39.877;88.064;31.969;88.064;15.336;22.493;56.095;574.2%;21.686;0.678;;;;;;;;;;;;;;;
2012;123.667;37.851;42.254;38.930;32.071;27.356;23.591;20.586;19.681;18.888;32.002;26.023;36.908;123.667;18.888;29.679;86.759;654.7%;28.418;0.770;;;;;;;;;;;;;;;
2013;43.247;34.984;29.318;34.165;20.573;22.542;18.583;17.652;15.375;15.880;14.865;39.018;25.517;43.247;14.865;21.558;17.730;290.9%;10.126;0.397;;;;;;;;;;;;;;;
2014;25.717;16.300;18.084;16.725;13.253;12.614;12.534;11.886;9.757;10.720;15.832;17.320;15.062;25.717;9.757;14.543;10.655;263.6%;4.321;0.287;;;;;;;;;;;;;;;
2015;13.861;22.597;40.017;19.878;15.806;13.329;12.357;10.235;13.547;13.250;17.385;23.576;17.987;40.017;10.235;14.834;22.031;391.0%;8.086;0.450;;;;;;;;;;;;;;;
2016;44.798;21.482;26.191;17.103;12.872;13.558;13.616;12.170;14.231;13.667;21.049;51.008;21.812;51.008;12.170;15.667;29.196;419.1%;12.985;0.595;;;;;;;;;;;;;;;
2017;19.764;24.335;18.020;13.770;11.983;12.578;9.714;8.483;8.352;8.760;15.518;34.208;15.457;34.208;8.352;13.174;18.751;409.6%;7.721;0.499;;;;;;;;;;;;;;;
2018;18.663;38.522;39.725;20.997;14.514;13.612;12.866;14.787;13.949;14.584;22.819;23.846;20.740;39.725;12.866;16.725;18.985;308.8%;9.371;0.452;;;;;;;;;;;;;;;
2019;19.864;21.797;17.460;23.921;17.652;13.438;12.269;10.313;9.983;11.281;21.241;25.095;17.026;25.095;9.983;17.556;8.069;251.4%;5.435;0.319;;;;;;;;;;;;;;;
2020;88.723;54.977;62.973;22.945;17.203;14.553;11.655;12.333;10.915;12.737;20.219;16.951;28.849;88.723;10.915;17.077;59.874;812.9%;25.535;0.885;;;;;;;;;;;;;;;
2021;16.845;31.918;23.019;15.746;12.581;11.320;10.957;10.317;10.371;20.628;33.306;32.312;19.110;33.306;10.317;16.295;14.196;322.8%;9.032;0.473;;;;;;;;;;;;;;;
2022;120.849;65.922;28.684;20.311;18.311;13.973;;;;;;;44.675;120.849;13.973;24.498;76.174;864.9%;41.811;0.936;;;;;;;;;;;;;;;
2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2024;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2025;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;

