nomeEstacao,latitude,longitude,valorMedida,data
Santa Clara I,-19.75821,-43.95392,43.8,2018-03
Santa Clara I,-19.75821,-43.95392,13.6,2018-04
Santa Clara I,-19.75821,-43.95392,12.6,2018-05
Santa Clara I,-19.75821,-43.95392,0.2,2018-06
Santa Clara I,-19.75821,-43.95392,1.0,2018-07
Santa Clara I,-19.75821,-43.95392,61.4,2018-08
Santa Clara I,-19.75821,-43.95392,47.2,2018-09
Santa Clara I,-19.75821,-43.95392,110.8,2018-10
Santa Clara I,-19.75821,-43.95392,254.0,2018-11
Santa Clara I,-19.75821,-43.95392,186.20000000000002,2018-12
Santa Clara I,-19.75821,-43.95392,3.2,2019-01
Santa Clara I,-19.75821,-43.95392,254.4,2019-02
Santa Clara I,-19.75821,-43.95392,150.8,2019-03
Santa Clara I,-19.75821,-43.95392,39.6,2019-04
Santa Clara I,-19.75821,-43.95392,55.0,2019-05
Santa Clara I,-19.75821,-43.95392,5.8,2019-06
Santa Clara I,-19.75821,-43.95392,0.0,2019-07
Santa Clara I,-19.75821,-43.95392,1.6,2019-08
Santa Clara I,-19.75821,-43.95392,18.400000000000002,2019-09
Santa Clara I,-19.75821,-43.95392,18.2,2019-10
Santa Clara I,-19.75821,-43.95392,33.6,2019-11
Santa Clara I,-19.75821,-43.95392,97.2,2019-12
Santa Clara I,-19.75821,-43.95392,483.4,2020-01
Santa Clara I,-19.75821,-43.95392,260.6,2020-02
Santa Clara I,-19.75821,-43.95392,300.2,2020-03
Santa Clara I,-19.75821,-43.95392,105.6,2020-04
Santa Clara I,-19.75821,-43.95392,30.0,2020-05
Santa Clara I,-19.75821,-43.95392,0.6000000000000001,2020-06
Santa Clara I,-19.75821,-43.95392,0.8,2020-07
Santa Clara I,-19.75821,-43.95392,15.200000000000001,2020-08
Santa Clara I,-19.75821,-43.95392,8.0,2020-09
Santa Clara I,-19.75821,-43.95392,124.2,2020-10
Santa Clara I,-19.75821,-43.95392,52.0,2020-11
Santa Clara I,-19.75821,-43.95392,189.0,2020-12
Santa Clara I,-19.75821,-43.95392,217.20000000000002,2021-01
Santa Clara I,-19.75821,-43.95392,157.4,2021-02
Santa Clara I,-19.75821,-43.95392,71.8,2021-03
Santa Clara I,-19.75821,-43.95392,4.0,2021-04
Santa Clara I,-19.75821,-43.95392,16.8,2021-05
Santa Clara I,-19.75821,-43.95392,2.2,2021-06
Santa Clara I,-19.75821,-43.95392,0.0,2021-07
Santa Clara I,-19.75821,-43.95392,6.2,2021-08
Santa Clara I,-19.75821,-43.95392,20.2,2021-09
Santa Clara I,-19.75821,-43.95392,53.6,2021-10
Santa Clara I,-19.75821,-43.95392,0.0,2021-11
Santa Clara I,-19.75821,-43.95392,97.2,2021-12
Santa Clara I,-19.75821,-43.95392,343.2,2022-01
Santa Clara I,-19.75821,-43.95392,335.8,2022-02
Santa Clara I,-19.75821,-43.95392,2.0,2022-03
Santa Clara I,-19.75821,-43.95392,34.0,2022-04
Santa Clara I,-19.75821,-43.95392,72.6,2022-05
Santa Clara I,-19.75821,-43.95392,0.0,2022-06
Santa Clara I,-19.75821,-43.95392,0.0,2022-07
Santa Clara I,-19.75821,-43.95392,0.0,2022-08
Santa Clara I,-19.75821,-43.95392,41.4,2022-09
Santa Clara I,-19.75821,-43.95392,90.0,2022-10
Santa Clara I,-19.75821,-43.95392,131.8,2022-11
