DataMedicao,valorMedida,latitude,longitude
2018-01-31,156.2,-19.97999999,-43.95861111
2018-02-28,324.4,-19.97999999,-43.95861111
2018-03-31,348.0,-19.97999999,-43.95861111
2018-04-30,11.0,-19.97999999,-43.95861111
2018-05-31,18.4,-19.97999999,-43.95861111
2018-06-30,0.6,-19.97999999,-43.95861111
2018-07-31,3.6,-19.97999999,-43.95861111
2018-08-31,49.6,-19.97999999,-43.95861111
2018-09-30,59.4,-19.97999999,-43.95861111
2018-10-31,137.0,-19.97999999,-43.95861111
2018-11-30,292.0,-19.97999999,-43.95861111
2018-12-31,283.0,-19.97999999,-43.95861111
2019-01-31,61.4,-19.97999999,-43.95861111
2019-02-28,240.4,-19.97999999,-43.95861111
2019-03-31,142.6,-19.97999999,-43.95861111
2019-04-30,109.4,-19.97999999,-43.95861111
2019-05-31,66.8,-19.97999999,-43.95861111
2019-06-30,13.2,-19.97999999,-43.95861111
2019-07-31,0.0,-19.97999999,-43.95861111
2019-08-31,9.4,-19.97999999,-43.95861111
2019-09-30,29.4,-19.97999999,-43.95861111
2019-10-31,69.4,-19.97999999,-43.95861111
2019-11-30,254.4,-19.97999999,-43.95861111
2019-12-31,215.0,-19.97999999,-43.95861111
2020-01-31,966.6,-19.97999999,-43.95861111
2020-02-29,407.0,-19.97999999,-43.95861111
2020-03-31,304.8,-19.97999999,-43.95861111
2020-04-30,97.0,-19.97999999,-43.95861111
2020-05-31,54.6,-19.97999999,-43.95861111
2020-06-30,2.2,-19.97999999,-43.95861111
2020-07-31,12.0,-19.97999999,-43.95861111
2020-08-31,12.0,-19.97999999,-43.95861111
2020-09-30,11.6,-19.97999999,-43.95861111
2020-10-31,84.8,-19.97999999,-43.95861111
2020-11-30,181.2,-19.97999999,-43.95861111
2020-12-31,264.4,-19.97999999,-43.95861111
2021-01-31,223.2,-19.97999999,-43.95861111
2021-02-28,489.8,-19.97999999,-43.95861111
2021-03-31,168.4,-19.97999999,-43.95861111
2021-04-30,10.8,-19.97999999,-43.95861111
2021-05-31,2.4,-19.97999999,-43.95861111
2021-06-30,36.0,-19.97999999,-43.95861111
2021-07-31,2.4,-19.97999999,-43.95861111
2021-08-31,23.6,-19.97999999,-43.95861111
2021-09-30,20.6,-19.97999999,-43.95861111
2021-10-31,246.2,-19.97999999,-43.95861111
2021-11-30,260.8,-19.97999999,-43.95861111
2021-12-31,395.2,-19.97999999,-43.95861111
2022-01-31,660.8,-19.97999999,-43.95861111
2022-02-28,284.8,-19.97999999,-43.95861111
2022-03-31,25.0,-19.97999999,-43.95861111
2022-04-30,46.0,-19.97999999,-43.95861111
2022-05-31,70.0,-19.97999999,-43.95861111
2022-06-30,0.6,-19.97999999,-43.95861111
2022-07-31,0.0,-19.97999999,-43.95861111
2022-08-31,0.4,-19.97999999,-43.95861111
2022-09-30,47.0,-19.97999999,-43.95861111
2022-10-31,,-19.97999999,-43.95861111
2022-11-30,272.2,-19.97999999,-43.95861111
2022-12-31,452.6,-19.97999999,-43.95861111
