DataMedicao,valorMedida,latitude,longitude
2018-01-31,183.8,-19.88388888,-43.96944443
2018-02-28,284.2,-19.88388888,-43.96944443
2018-03-31,368.0,-19.88388888,-43.96944443
2018-04-30,13.2,-19.88388888,-43.96944443
2018-05-31,11.4,-19.88388888,-43.96944443
2018-06-30,0.0,-19.88388888,-43.96944443
2018-07-31,0.4,-19.88388888,-43.96944443
2018-08-31,41.0,-19.88388888,-43.96944443
2018-09-30,51.0,-19.88388888,-43.96944443
2018-10-31,176.0,-19.88388888,-43.96944443
2018-11-30,265.0,-19.88388888,-43.96944443
2018-12-31,281.2,-19.88388888,-43.96944443
2019-01-31,83.0,-19.88388888,-43.96944443
2019-02-28,203.2,-19.88388888,-43.96944443
2019-03-31,138.2,-19.88388888,-43.96944443
2019-04-30,114.6,-19.88388888,-43.96944443
2019-05-31,47.0,-19.88388888,-43.96944443
2019-06-30,4.8,-19.88388888,-43.96944443
2019-07-31,0.0,-19.88388888,-43.96944443
2019-08-31,0.0,-19.88388888,-43.96944443
2019-09-30,19.4,-19.88388888,-43.96944443
2019-10-31,56.2,-19.88388888,-43.96944443
2019-11-30,202.0,-19.88388888,-43.96944443
2019-12-31,213.4,-19.88388888,-43.96944443
2020-01-31,739.8,-19.88388888,-43.96944443
2020-02-29,344.6,-19.88388888,-43.96944443
2020-03-31,318.0,-19.88388888,-43.96944443
2020-04-30,101.0,-19.88388888,-43.96944443
2020-05-31,27.8,-19.88388888,-43.96944443
2020-06-30,4.4,-19.88388888,-43.96944443
2020-07-31,2.4,-19.88388888,-43.96944443
2020-08-31,13.8,-19.88388888,-43.96944443
2020-09-30,,-19.88388888,-43.96944443
2020-10-31,114.0,-19.88388888,-43.96944443
2020-11-30,150.2,-19.88388888,-43.96944443
2020-12-31,232.4,-19.88388888,-43.96944443
2021-01-31,233.6,-19.88388888,-43.96944443
2021-02-28,407.6,-19.88388888,-43.96944443
2021-03-31,105.8,-19.88388888,-43.96944443
2021-04-30,7.6,-19.88388888,-43.96944443
2021-05-31,5.2,-19.88388888,-43.96944443
2021-06-30,17.0,-19.88388888,-43.96944443
2021-07-31,0.0,-19.88388888,-43.96944443
2021-08-31,13.4,-19.88388888,-43.96944443
2021-09-30,7.4,-19.88388888,-43.96944443
2021-10-31,241.6,-19.88388888,-43.96944443
2021-11-30,245.4,-19.88388888,-43.96944443
2021-12-31,391.4,-19.88388888,-43.96944443
2022-01-31,430.0,-19.88388888,-43.96944443
2022-02-28,326.8,-19.88388888,-43.96944443
2022-03-31,4.8,-19.88388888,-43.96944443
2022-04-30,28.2,-19.88388888,-43.96944443
2022-05-31,65.4,-19.88388888,-43.96944443
2022-06-30,0.0,-19.88388888,-43.96944443
2022-07-31,0.0,-19.88388888,-43.96944443
2022-08-31,0.0,-19.88388888,-43.96944443
2022-09-30,53.0,-19.88388888,-43.96944443
2022-10-31,114.8,-19.88388888,-43.96944443
2022-11-30,264.2,-19.88388888,-43.96944443
2022-12-31,321.6,-19.88388888,-43.96944443
