DataMedicao,valorMedida,latitude,longitude
2018-01-31,65.0,-17.258064,-44.835556
2018-02-28,138.4,-17.258064,-44.835556
2018-03-31,92.0,-17.258064,-44.835556
2018-04-30,44.2,-17.258064,-44.835556
2018-05-31,29.4,-17.258064,-44.835556
2018-06-30,0.0,-17.258064,-44.835556
2018-07-31,0.0,-17.258064,-44.835556
2018-08-31,4.8,-17.258064,-44.835556
2018-09-30,0.0,-17.258064,-44.835556
2018-10-31,98.8,-17.258064,-44.835556
2018-11-30,223.8,-17.258064,-44.835556
2018-12-31,342.4,-17.258064,-44.835556
2019-01-31,161.8,-17.258064,-44.835556
2019-02-28,200.2,-17.258064,-44.835556
2019-03-31,103.4,-17.258064,-44.835556
2019-04-30,,-17.258064,-44.835556
2019-05-31,3.8,-17.258064,-44.835556
2019-06-30,0.0,-17.258064,-44.835556
2019-07-31,,-17.258064,-44.835556
2019-08-31,0.0,-17.258064,-44.835556
2019-09-30,25.6,-17.258064,-44.835556
2019-10-31,37.2,-17.258064,-44.835556
2019-11-30,164.0,-17.258064,-44.835556
2019-12-31,196.2,-17.258064,-44.835556
2020-01-31,276.8,-17.258064,-44.835556
2020-02-29,199.6,-17.258064,-44.835556
2020-03-31,180.0,-17.258064,-44.835556
2020-04-30,61.2,-17.258064,-44.835556
2020-05-31,34.4,-17.258064,-44.835556
2020-06-30,0.0,-17.258064,-44.835556
2020-07-31,0.0,-17.258064,-44.835556
2020-08-31,0.0,-17.258064,-44.835556
2020-09-30,0.8,-17.258064,-44.835556
2020-10-31,111.6,-17.258064,-44.835556
2020-11-30,203.6,-17.258064,-44.835556
2020-12-31,156.8,-17.258064,-44.835556
2021-01-31,162.8,-17.258064,-44.835556
2021-02-28,402.2,-17.258064,-44.835556
2021-03-31,91.2,-17.258064,-44.835556
2021-04-30,19.2,-17.258064,-44.835556
2021-05-31,0.0,-17.258064,-44.835556
2021-06-30,0.0,-17.258064,-44.835556
2021-07-31,0.0,-17.258064,-44.835556
2021-08-31,0.0,-17.258064,-44.835556
2021-09-30,0.0,-17.258064,-44.835556
2021-10-31,120.2,-17.258064,-44.835556
2021-11-30,196.6,-17.258064,-44.835556
2021-12-31,277.6,-17.258064,-44.835556
2022-01-31,232.8,-17.258064,-44.835556
2022-02-28,197.0,-17.258064,-44.835556
2022-03-31,0.0,-17.258064,-44.835556
2022-04-30,1.2,-17.258064,-44.835556
2022-05-31,3.8,-17.258064,-44.835556
2022-06-30,0.0,-17.258064,-44.835556
2022-07-31,0.0,-17.258064,-44.835556
2022-08-31,0.0,-17.258064,-44.835556
2022-09-30,9.4,-17.258064,-44.835556
2022-10-31,,-17.258064,-44.835556
2022-11-30,,-17.258064,-44.835556
2022-12-31,188.2,-17.258064,-44.835556
