DataMedicao,valorMedida,latitude,longitude
2018-03-31,156.2,-20.0876,-43.785103
2018-04-30,26.8,-20.0876,-43.785103
2018-05-31,20.8,-20.0876,-43.785103
2018-06-30,1.6,-20.0876,-43.785103
2018-07-31,3.0,-20.0876,-43.785103
2018-08-31,67.0,-20.0876,-43.785103
2018-09-30,60.6,-20.0876,-43.785103
2018-10-31,148.4,-20.0876,-43.785103
2018-11-30,168.4,-20.0876,-43.785103
2018-12-31,195.8,-20.0876,-43.785103
2019-01-31,84.2,-20.0876,-43.785103
2019-02-28,192.0,-20.0876,-43.785103
2019-03-31,97.8,-20.0876,-43.785103
2019-04-30,87.2,-20.0876,-43.785103
2019-05-31,84.4,-20.0876,-43.785103
2019-06-30,5.8,-20.0876,-43.785103
2019-07-31,0.2,-20.0876,-43.785103
2019-08-31,0.4,-20.0876,-43.785103
2019-09-30,32.6,-20.0876,-43.785103
2019-10-31,52.8,-20.0876,-43.785103
2019-11-30,189.6,-20.0876,-43.785103
2019-12-31,203.8,-20.0876,-43.785103
2020-01-31,611.8,-20.0876,-43.785103
2020-02-29,286.0,-20.0876,-43.785103
2020-03-31,384.0,-20.0876,-43.785103
2020-04-30,83.2,-20.0876,-43.785103
2020-05-31,31.0,-20.0876,-43.785103
2020-06-30,1.0,-20.0876,-43.785103
2020-07-31,17.6,-20.0876,-43.785103
2020-08-31,14.0,-20.0876,-43.785103
2020-09-30,23.2,-20.0876,-43.785103
2020-10-31,105.8,-20.0876,-43.785103
2020-11-30,134.4,-20.0876,-43.785103
2020-12-31,327.0,-20.0876,-43.785103
2021-01-31,141.6,-20.0876,-43.785103
2021-02-28,357.6,-20.0876,-43.785103
2021-03-31,71.2,-20.0876,-43.785103
2021-04-30,3.0,-20.0876,-43.785103
2021-05-31,38.6,-20.0876,-43.785103
2021-06-30,4.0,-20.0876,-43.785103
2021-07-31,0.2,-20.0876,-43.785103
2021-08-31,7.6,-20.0876,-43.785103
2021-09-30,20.6,-20.0876,-43.785103
2021-10-31,228.6,-20.0876,-43.785103
2021-11-30,313.8,-20.0876,-43.785103
2021-12-31,271.0,-20.0876,-43.785103
2022-01-31,560.0,-20.0876,-43.785103
2022-02-28,187.4,-20.0876,-43.785103
2022-03-31,12.4,-20.0876,-43.785103
2022-04-30,70.8,-20.0876,-43.785103
2022-05-31,62.2,-20.0876,-43.785103
2022-06-30,1.0,-20.0876,-43.785103
2022-07-31,1.4,-20.0876,-43.785103
2022-08-31,0.0,-20.0876,-43.785103
2022-09-30,21.4,-20.0876,-43.785103
2022-10-31,117.8,-20.0876,-43.785103
2022-11-30,216.6,-20.0876,-43.785103
2022-12-31,7.6,-20.0876,-43.785103
