DataMedicao,valorMedida,latitude,longitude
2018-03-31,100.0,-19.76625,-43.83535
2018-04-30,14.2,-19.76625,-43.83535
2018-05-31,10.0,-19.76625,-43.83535
2018-06-30,0.2,-19.76625,-43.83535
2018-07-31,1.4,-19.76625,-43.83535
2018-08-31,37.8,-19.76625,-43.83535
2018-09-30,45.2,-19.76625,-43.83535
2018-10-31,110.0,-19.76625,-43.83535
2018-11-30,261.2,-19.76625,-43.83535
2018-12-31,421.4,-19.76625,-43.83535
2019-01-31,36.6,-19.76625,-43.83535
2019-02-28,230.2,-19.76625,-43.83535
2019-03-31,126.2,-19.76625,-43.83535
2019-04-30,41.0,-19.76625,-43.83535
2019-05-31,40.6,-19.76625,-43.83535
2019-06-30,9.4,-19.76625,-43.83535
2019-07-31,0.0,-19.76625,-43.83535
2019-08-31,0.2,-19.76625,-43.83535
2019-09-30,17.2,-19.76625,-43.83535
2019-10-31,84.0,-19.76625,-43.83535
2019-11-30,183.6,-19.76625,-43.83535
2019-12-31,195.4,-19.76625,-43.83535
2020-01-31,519.0,-19.76625,-43.83535
2020-02-29,287.2,-19.76625,-43.83535
2020-03-31,280.2,-19.76625,-43.83535
2020-04-30,86.2,-19.76625,-43.83535
2020-05-31,27.6,-19.76625,-43.83535
2020-06-30,1.6,-19.76625,-43.83535
2020-07-31,1.0,-19.76625,-43.83535
2020-08-31,14.0,-19.76625,-43.83535
2020-09-30,7.2,-19.76625,-43.83535
2020-10-31,129.6,-19.76625,-43.83535
2020-11-30,89.8,-19.76625,-43.83535
2020-12-31,192.0,-19.76625,-43.83535
2021-01-31,212.6,-19.76625,-43.83535
2021-02-28,346.4,-19.76625,-43.83535
2021-03-31,91.4,-19.76625,-43.83535
2021-04-30,2.2,-19.76625,-43.83535
2021-05-31,15.4,-19.76634,-43.93589
2021-06-30,2.4,-19.76634,-43.93589
2021-07-31,0.0,-19.76634,-43.93589
2021-08-31,6.0,-19.76634,-43.93589
2021-09-30,6.0,-19.76634,-43.93589
2021-10-31,156.20000000000002,-19.76634,-43.93589
2021-11-30,285.2,-19.76634,-43.93589
2021-12-31,270.0,-19.76634,-43.93589
2022-01-31,402.8,-19.76634,-43.93589
2022-02-28,348.6,-19.76634,-43.93589
2022-03-31,4.8,-19.76634,-43.93589
2022-04-30,27.2,-19.76634,-43.93589
2022-05-31,78.8,-19.76634,-43.93589
2022-06-30,0.0,-19.76634,-43.93589
2022-07-31,0.0,-19.76634,-43.93589
2022-08-31,0.0,-19.76634,-43.93589
2022-09-30,40.8,-19.76634,-43.93589
2022-10-31,91.2,-19.76634,-43.93589
2022-11-30,345.6,-19.76634,-43.93589
2022-12-31,413.0,-19.76634,-43.93589
