id_estacao,estacao,max_pluv,min_pluv,media_anual_pluv,media_prec_pluv,media_est_pluv,desvio_pluv,latitude,longitude
0,BH-PAMPULHA,739.8,0.4,137.12,248.03,137.12,151.62,-19.88388888,-43.96944443
1,DIAMANTINA,581.8,0.2,117.33,201.24,117.33,125.37,-18.231052,-43.648269
2,CURVELO,416.0,0.2,100.01,169.67,100.01,109.55,-18.747711,-44.453785
3,PIRAPORA,402.2,0.8,90.32,166.69,90.32,99.77,-17.258064,-44.835556
4,SETE-LAGOAS,595.0,0.2,128.79,219.23,128.79,135.96,-19.45527777,-44.17333332
5,BH-CERCADINHO,966.6,0.4,153.08,278.82,153.08,184.18,-19.97999999,-43.95861111
6,JABOTICATUBAS,413.0,0.2,103.91,200.73,103.91,123.49,-19.51701,-43.74518
7,RIO-ACIMA,611.8,0.2,114.05,207.99,114.05,136.66,-20.0876,-43.785103
8,SANTA-LUZIA,519.0,0.2,116.34,221.94,116.34,137.86,-19.76625,-43.83535
9,VESPASIANO,483.4,0.2,82.03,150.43,82.03,107.88,-19.75821,-43.95392
10,OURO-PRETO,491.17,0.2,132.35,236.52,132.35,134.68,-20.396,-43.502
